
#a61b29,xiancaihong,苋菜红
#9b1e64,xiancaizi,苋菜紫
#F00056,pinghong,品红
#0aa344,qingcong,青葱
#b35c44,chase,茶色
#4b5cc4,baolan,宝蓝
#a29b7c,canghuang,苍黄
#a78e44,wujing,乌金
